Date;Numero spettacoli;Ingressi;Spesa del pubblico
Jan-18;14048;2557873;38990026,83
Feb-18;14911;2734855;37233797,5
Mar-18;16203;2973107;40538564,57
Apr-18;13106;2173417;31807364,41
May-18;10938;1651762;28185285,09
Jun-18;8489;1293711;31427737,8
Jul-18;7336;1140402;43536833,09
Aug-18;5295;831804;29351240,07
Sep-18;5940;640135;41239398,11
Oct-18;10364;1416863;42491218,23
Nov-18;14536;2524772;42542731,3
Dec-18;14640;2752923;52612956,36
Jan-19;13353;2703477;47919487,55
Feb-19;14981;3053040;43509811,68
Mar-19;17129;3272010;43349471,22
Apr-19;10621;1794711;25812150,91
May-19;11156;1747340;26245363,18
Jun-19;8444;1314409;31951599,99
Jul-19;6603;998253;39053084,38
Aug-19;4976;892017;30347584,98
Sep-19;5633;675616;45793519,53
Oct-19;10309;1500830;48884917,22
Nov-19;14859;2579042;44371790,36
Dec-19;14137;2797637;57994067,57
Jan-20;13697;2756682;46002045,61
Feb-20;13225;2716268;36430573,4
Mar-20;477;80448;1364026,62
Apr-20;;;74865,26
May-20;;;57814,53
Jun-20;827;38099;1139897,15
Jul-20;4834;314592;6785651
Aug-20;4862;430722;9519323,26
Sep-20;4227;303784;7941193,81
Oct-20;4378;262140;4776139,04
Nov-20;;;37522
Dec-20;;;69800,6
Jan-21;;;77648,84
Feb-21;;;6286,54
Mar-21;;;49324,96
Apr-21;60;3788;86016,71
May-21;3461;233234;2418386,84
Jun-21;7260;483472;6709532,67
Jul-21;10228;838959;18030715,34
Aug-21;7318;721574;17119925,27
Sep-21;8068;578038;16288714,46
Oct-21;9074;861013;19633424,38
Nov-21;10813;1222266;22971482,03
Dec-21;11812;1398111;28891294,1
Jan-22;6356;983778;19269992,6
Feb-22;7940;1276450;20582183,03
Mar-22;11789;1860044;31916586,14
Apr-22;10480;1660376;27439343,02
May-22;11837;1822010;30965381,9
Jun-22;9530;1411919;26838089,02
Jul-22;9531;1359619;36162022,7
Aug-22;6927;1024471;26804926,34
Sep-22;8197;977016;29685883,1
Oct-22;11880;1613974;36457300,02
Nov-22;14007;2187237;38729827,1
Dec-22;15292;2665646;52970629,56
